OBJECTID,Name,POINT_X,POINT_Y
1,Washington,-122.96592712400,48.59535217250
2,Washington,-122.96580505400,48.59502029390
3,Washington,-122.96559906000,48.59468460120
4,Washington,-122.96553039600,48.59431457520
5,Washington,-122.96540069500,48.59402847290
6,Washington,-122.96527862500,48.59388732880
7,Washington,-122.96527862500,48.59305572480
8,Washington,-122.96583557200,48.59249877920
9,Washington,-122.96639251700,48.59249877920
10,Washington,-122.96660614000,48.59222030680
11,Washington,-122.96694183300,48.59166717520
12,Washington,-122.96694183300,48.59152221710
13,Washington,-122.96694183300,48.59111022960
14,Washington,-122.96583557200,48.59000015230
15,Washington,-122.96416473400,48.59000015230
16,Washington,-122.96389007500,48.58972167990
17,Washington,-122.96360778800,48.59000015230
18,Washington,-122.96333313000,48.59000015230
19,Washington,-122.96305847100,48.59027862560
20,Washington,-122.96250152600,48.59027862560
21,Washington,-122.96233367900,48.59024810800
22,Washington,-122.96205902100,48.59012222270
23,Washington,-122.96173095700,48.59001922600
24,Washington,-122.96136474600,48.58996200570
25,Washington,-122.96102905200,48.58979797390
26,Washington,-122.96066284200,48.58966064470
27,Washington,-122.96035766600,48.58943176280
28,Washington,-122.96007537800,48.58916473430
29,Washington,-122.95977020300,48.58889007590
30,Washington,-122.95942688000,48.58864593520
31,Washington,-122.95895385800,48.58851242090
32,Washington,-122.95849609400,48.58831787150
33,Washington,-122.95804596000,48.58809661850
34,Washington,-122.95756530700,48.58805465700
35,Washington,-122.95707702700,48.58805465700
36,Washington,-122.95659637500,48.58805465700
37,Washington,-122.95613098100,48.58805465700
38,Washington,-122.95568847700,48.58805465700
39,Washington,-122.95526886000,48.58805847190
40,Washington,-122.95489501900,48.58811187730
41,Washington,-122.95459747300,48.58802795430
42,Washington,-122.95427703900,48.58799743670
43,Washington,-122.95417022700,48.58799743670
44,Washington,-122.95333099300,48.58777618370
45,Washington,-122.95305633600,48.58777618370
46,Washington,-122.95277404800,48.58805465700
47,Washington,-122.95263671800,48.58811950710
48,Washington,-122.95191955600,48.58788681020
49,Washington,-122.95125579900,48.58785629260
50,Washington,-122.95064544700,48.58777999860
51,Washington,-122.95006561200,48.58758163430
52,Washington,-122.94947052000,48.58742904630
53,Washington,-122.94885253900,48.58751297010
54,Washington,-122.94823455800,48.58760070800
55,Washington,-122.94763183600,48.58760833700
56,Washington,-122.94702148500,48.58776473990
57,Washington,-122.94638061500,48.58765411330
58,Washington,-122.94582367000,48.58755874650
59,Washington,-122.94527435300,48.58722305300
60,Washington,-122.94499969400,48.58694457970
61,Washington,-122.94499969400,48.58666610740
62,Washington,-122.94416809000,48.58583450340
63,Washington,-122.94361114500,48.58583450340
64,Washington,-122.94305419900,48.58583068840
65,Washington,-122.94249725400,48.58583450340
66,Washington,-122.94222259500,48.58583450340
67,Washington,-122.94190216000,48.58561706530
68,Washington,-122.94155120800,48.58543395970
69,Washington,-122.94123840300,48.58522033650
70,Washington,-122.94101715100,48.58491897550
71,Washington,-122.94076538100,48.58464431720
72,Washington,-122.94055938700,48.58432006840
73,Washington,-122.94036102300,48.58398818980
74,Washington,-122.94010162300,48.58371353150
75,Washington,-122.94017791700,48.58341217040
76,Washington,-122.94030761800,48.58292770390
77,Washington,-122.94088745100,48.58233642570
78,Washington,-122.94139862100,48.58231353790
79,Washington,-122.94192504900,48.58217239380
80,Washington,-122.94216919000,48.58205795330
81,Washington,-122.94216919000,48.58193969700
82,Washington,-122.94253540000,48.58192825310
83,Washington,-122.94290161100,48.58181762660
84,Washington,-122.94329071000,48.58164978070
85,Washington,-122.94365692100,48.58138656620
86,Washington,-122.94400787400,48.58107376130
87,Washington,-122.94427490200,48.58070373530
88,Washington,-122.94438171400,48.58032226540
89,Washington,-122.94418334900,48.57993698140
